,USDINR,USDINR_Return,Oil_Return,Gold_Return,Inflation_Differential,Interest_Rate_Differential,FPI_Flow,Trade_Balance,FX_Reserves_Change,VIX,Broad_USD_Return,GPR
2021-03,73.1125,-0.4809751558765285,-3.9952872845200993,-1.530065441964723,2.8503508007083678,4.4256,2346.0,-13642.26,-5922.0,19.4,0.8760545585254853,77.55295372009277
2021-04,74.0875,1.324747634481227,5.674738964057813,3.5334608600400053,0.09413556627748676,4.404100000000001,-1186.0,-15292.11,9366.0,18.61,-1.540042645887496,84.63264045715331
2021-05,72.615,-2.0075315054189247,3.0316446365456606,7.497525407045202,1.3773028840247559,4.4277,-258.0,-6528.99,8010.0,16.76,-1.190366840161694,90.02756192607265
2021-06,74.3313,2.3360616098017317,8.048648153366411,-7.442146284688622,0.9626018987540785,4.583,1783.0,-9599.07,14596.0,15.83,1.608285762937367,73.63074938456218
2021-07,74.4175,0.11590010763011804,1.5846099429309923,2.459739556472318,0.3428748032261675,4.9817,-992.0,-10634.15,7116.0,18.24,0.10487305417585802,56.99393500051191
2021-08,73.0063,-1.914539043958019,-4.474360034683844,-0.031423917167128224,0.14856646937604356,4.9072000000000005,2233.0,-11712.13,2631.0,16.48,0.38639602683359087,87.94968306633734
2021-09,74.2388,1.6741185759700628,7.303092394471999,-3.174549673855065,-1.0033895039926133,4.7347,3777.0,-22471.81,-4813.0,23.14,1.3459822369048524,79.08872133890787
2021-10,74.8775,0.8566520305643976,7.1977037287932255,1.4931088919865942,-1.7527191579748358,4.834899999999999,-1658.0,-17910.52,3955.0,16.26,-0.4418318263358145,78.00937837170017
2021-11,75.1687,0.388147604668454,-17.872528168345436,-0.49804763003216124,-1.993222763675706,4.8816999999999995,-329.0,-21230.02,-2615.0,27.19,1.799286195945804,85.21195564270019
2021-12,74.3375,-1.1119385873822552,9.72792037148631,3.0348748980362217,-1.5163618998144335,4.943899999999999,-3938.0,-21059.57,-5050.0,17.22,-0.7983969152856041,100.07792429770193
2022-01,74.6225,0.3826535281367782,15.928021146446536,-1.766550736020367,-1.544730231126512,4.9043,-3815.0,-17333.76,-3200.0,24.83,0.24518203827561535,130.1121132143082
2022-02,75.3425,0.9602314303442938,10.18569618463987,6.036110094364755,-1.8708675276927877,4.9399999999999995,-5075.0,-18744.4,-394.0,30.15,-0.2977621525776186,213.19590881892614
2022-03,75.7862,0.587183340873132,6.627604433717682,1.4793207638712502,-1.6206743537689592,4.498,-6562.0,-18516.85,-25571.0,20.56,-0.0005207334356605031,306.9907064130229
2022-04,76.4325,0.8491780362567702,1.3164747091210849,-2.1130724120880906,-0.4370739646935915,4.2063999999999995,-2961.0,-18358.39,-9518.0,33.4,3.640133638414156,188.66490732828777
2022-05,77.6375,1.5642559496599873,11.642040210576887,-3.191247378337181,-1.4932834150934502,4.5709,-4730.0,-22122.82,7485.0,26.19,-1.1979246120085385,138.14231577227193
2022-06,78.9725,1.7049132714467063,-6.7604107466901375,-1.6506896745074329,-1.9737814378857133,4.4361,-6592.0,-22073.24,-13135.0,28.71,2.422184419113016,127.8085386912028
2022-07,79.2688,0.37449179991071446,-4.270731735437661,-2.3134292854928518,-1.7548844200377953,4.6683,239.0,-25435.58,-14011.0,21.33,0.6613051583179264,113.90325164794922
2022-08,79.46,0.2409141787456548,-13.113189471905162,-3.1581753741433793,-1.2244207988449727,3.9974000000000003,7107.0,-24861.41,-13458.0,25.87,1.4408564218951092,131.2840061803018
2022-09,81.3488,2.3492332094196655,-9.255721034573217,-2.9916368030781015,-0.7778912101513047,3.5704000000000002,-437.0,-27981.31,-25280.0,31.62,3.170791956594954,128.05144831339518
2022-10,82.785,1.750080307892521,7.520364920907596,-1.6423322417204567,-0.9914423564845398,3.3972000000000007,-376.0,-26308.71,1324.0,25.88,0.08395499846995946,138.94034182640814
2022-11,81.4287,-1.6519094840170112,-10.438848773210907,7.93813562881498,-1.2440322213810084,3.6746000000000003,4138.0,-22064.31,16151.0,20.58,-3.2689139843637527,113.91822814941406
2022-12,82.735,1.5914938224403485,0.5602909486437824,3.0899817885911673,-0.6885955888794149,3.4532000000000003,1122.0,-23134.2,7740.0,21.67,-1.7081116892931902,108.72848246174473
2023-01,81.9238,-0.9853182009690542,-1.666705248521172,5.5627044245367685,0.19062474094153625,3.8371000000000004,-3233.0,-17027.0,8864.0,19.4,-2.034463682827514,100.22495940423781
2023-02,82.67,0.9067232330466801,-0.7126767306550263,-5.403841194250436,0.4840817302554479,3.513,-501.0,-16567.8,-9023.0,20.7,1.9590804916858495,118.78111321585519
2023-03,82.1825,-0.5914395245016024,-5.035892293516486,7.503650490431557,0.7471583950110494,3.8434,712.0,-18962.98,11828.0,18.7,-1.640208557272338,102.2855674374488
2023-04,81.8325,-0.426790880434158,-0.2887454143493784,1.0466645024916232,-0.24696406489743694,3.6969999999999996,1655.0,-14437.66,11239.0,15.78,-0.11350253749071726,104.48280359903971
2023-05,82.7275,1.087759874627281,-9.04690129864889,-1.3798277476830378,0.1779915175957436,3.3454000000000006,5878.0,-22528.95,1492.0,17.94,1.4500381049047384,104.39919342533234
2023-06,82.04,-0.8345140757318958,3.036286373011876,-2.2349774204713846,1.7961268435730204,3.2803,6847.0,-19189.24,5557.0,13.59,-1.3362004478936207,109.05524889628093
2023-07,82.2538,0.2602655981988278,13.306399369103072,2.3551458744226927,4.151697098353724,3.2161999999999997,5844.0,-20668.52,9173.0,13.63,-1.2956328918695803,103.93611615703952
2023-08,82.785,0.6437296373405843,1.507974289247116,-1.275213937514419,3.1048044334424985,3.0558999999999994,2214.0,-24013.37,-7241.0,13.57,2.017215282995455,98.63547159010365
2023-09,83.04,0.3075533858003965,9.283710984285864,-4.834108220983868,1.3327591348413659,2.6438999999999995,-1660.0,-20077.05,-8545.0,17.52,1.7175013482093604,96.74180507659912
2023-10,83.255,0.25857676995020284,-8.652504435713837,7.060969894838909,1.615740315379366,2.4243000000000006,-2148.0,-30428.71,-2085.0,18.14,1.2421339005620702,193.9177969655683
2023-11,83.395,0.16801684120562044,-5.381937798222403,2.613393049809254,2.4190616574201407,2.9536000000000007,2946.0,-21316.23,14143.0,12.92,-2.9443317826729043,154.0095962524414
2023-12,83.21,-0.22208226167981238,-7.246554712030218,1.2963085762052629,2.3756096930324544,3.2949,10149.0,-18760.48,17815.0,12.45,-1.5273639128295713,139.7449030722341
2024-01,83.0412,-0.20306627321202697,5.885162590674575,-1.1437053370161543,2.01080715515749,3.2316000000000003,-791.0,-16552.73,-2300.0,14.35,1.6850029339087413,157.2040055797946
2024-02,82.9138,-0.1535356271602062,2.3106332531803275,0.23409465563517529,1.9334235959078683,2.8278,3834.0,-19513.67,5213.0,13.4,0.6202436533608413,144.16961433147563
2024-03,83.4037,0.5891158980402267,4.512746988014804,8.688785519980069,1.366438225613864,2.8556999999999997,6276.0,-15334.39,16798.0,13.01,-0.13484641898973138,131.24544574368386
2024-04,83.4362,0.03895950598282738,0.43344427390659135,2.4969632914312534,1.4679527682216476,2.5061999999999998,-1945.0,-19184.44,-9172.0,15.65,1.6116451655928898,160.8634017944336
2024-05,83.465,0.03451143585051497,-0.8320614347162802,1.7808767036401996,1.5575081273313307,2.4805,-1541.0,-22083.94,10786.0,12.92,-0.7240835069018736,128.4311297016759
2024-06,83.3913,-0.08833949307627265,-0.8320614347162802,-0.024924367565759553,2.1126149795297033,2.6129000000000007,5007.0,-20834.5,317.0,12.44,1.7152095851532323,111.85838190714519
2024-07,83.7275,0.4023490517488959,-6.811703380795375,5.063550852256515,0.6548741796032598,2.8964,5840.0,-24767.84,16435.0,16.36,-0.46238173851973485,91.70735273053569
2024-08,83.8712,0.1714810857284199,-2.4073379181520416,2.253786073017139,1.0448426199416883,2.9606,3039.0,-35637.39,8099.0,15.0,-1.0661032372833112,138.55962519491874
2024-09,83.8013,-0.08337682571601945,-9.34464354218525,5.107796316315127,3.0596658006147637,2.9691,11162.0,-24660.0,19660.0,16.73,-0.8536556109327798,128.25949735641478
2024-10,84.0837,0.3364210815119506,1.9182262080684076,4.06820003596966,3.6273081317735656,2.5626000000000007,-11473.0,-26227.68,-27226.0,23.16,2.854814955418483,129.3613771007907
2024-11,84.4925,0.4850041718186482,-0.30116381421310123,-3.743438915855535,2.7555677963641223,2.5745000000000005,-2541.0,-31923.79,-19889.0,13.51,1.4170098812987142,127.36047604878743
2024-12,85.6087,1.3124140469668255,2.3039371158554367,-0.7080985990494781,2.352787761623043,2.191,3070.0,-20628.99,-22506.0,17.35,2.1088317397047973,138.005001683389
2025-01,86.6162,1.1699951550964371,2.800711460041061,6.416099703615341,1.2677817999167562,2.1612999999999998,-8963.0,-23429.47,-9770.0,16.43,-0.6166213478319804,112.21189314319241
2025-02,87.5125,1.0294775255175637,-4.776151154843777,2.1011196836817625,0.804444539321536,2.5208000000000004,-2797.0,-14418.01,5666.0,19.63,-0.15757706951120554,133.3634752546038
